year,month,trip_type,count,avg_trip_distance,avg_minutes,avg_fare_per_mile,js_hour,js_wday
2022,5,green,76891,118.61491591993861,20.298201133205882,10.135848410252464,0.07868301974356748,0.07946078722002102
2022,6,green,73718,104.57646748419656,20.795099568626387,11.001775801631625,0.07673438083940129,0.037210591619293444
2022,7,green,64192,86.54894644192424,19.44194058449651,12.285210385393246,0.06905514591313036,0.053061856909856195
2022,8,green,65929,53.959549060352806,19.666704839044023,14.014878112037058,0.07620379839065028,0.08813813153907657
2022,9,green,69031,97.03247483014879,21.55239409347491,14.375862345010152,0.07104941233130857,0.02958977801170837
2022,10,green,69322,92.29058206629931,20.757149966821498,14.246371511471752,0.08282195914209185,0.08665179661246429
2022,11,green,62313,83.30130807375669,20.966590973526127,12.589761305003421,0.086585040825394,0.08240669343636776
2022,12,green,72439,40.35413589364845,19.635855685473295,14.560561363707029,0.0816625311229289,0.04761179504435808
2023,1,green,68211,8.114852149946488,18.097270723685813,11.102625897744236,0.08301365226327316,0.07063626741567049
2023,2,green,64809,13.696354364362975,17.744896542146925,11.169762947715103,0.07363863870037317,0.03552522991806834
2023,3,green,72044,12.449510993281882,18.230598430588714,11.559805973002959,0.07496934800105277,0.031527735932722824
2023,4,green,65392,12.811717029606065,18.375759522061824,11.729225240708393,0.0732778825123537,0.07277031475952982
2023,5,green,69174,18.591360048573165,20.018181927699235,13.04896225913959,0.06580193503572504,0.07829423453864028
2023,6,green,65550,22.43044988558352,19.913741418764303,13.915316122326459,0.04944750262858742,0.03555306893860362
2023,7,green,61343,23.458045416754967,19.87575219123073,13.672479126837308,0.04720468967313619,0.0865013344559057
2023,8,green,60649,26.994452505399924,20.488008321104495,13.764359992252674,0.05978949653557097,0.06196268201864622
2023,9,green,65471,24.532310183134516,21.01882131019841,15.68469934955072,0.05152868337720643,0.038871815435894734
2023,10,green,66177,23.646511174577274,20.386122318428864,12.981711018693463,0.06716974417234495,0.08578620468849173
2023,11,green,64025,18.455159390862942,20.943890147077965,14.334248403972621,0.07313743015729449,0.059226548149923224
2023,12,green,64215,25.054973915751773,20.325641464870618,15.05295581398362,0.0687612776495246,0.045579492300715466
2024,1,green,56551,31.4911239412212,18.171378637571983,12.659228810514998,0.08310598504707582,0.07655885080846392
2024,2,green,53577,17.665926983593703,18.557307240047038,12.094292517062343,0.07906554688192716,0.047576970780256404
2024,3,green,57457,13.522828376002922,18.127844010883504,12.16598675191657,0.07760838049656778,0.044168783481089026
2024,4,green,56471,12.088796196277734,18.40881691487666,14.741599297460521,0.07464393703328664,0.08864563010900652
2024,5,green,61003,14.608398111568283,20.34876372200274,16.15237734204358,0.05397866788229969,0.021902949948274738
2024,6,green,54748,13.98764448016366,19.445461021407176,16.416597228709836,0.04837894986807809,0.07199251755475357
2024,7,green,51837,11.284958041553333,18.74025342258747,15.60584526880357,0.06655542760658963,0.09977083597201605
2024,8,green,51771,19.707805141874797,20.305103565058943,15.231335302316994,0.05802779882832886,0.04217042941227079
2024,9,green,54440,18.41248622336517,20.716650134704874,16.827526058131028,0.05083056480790747,0.08046864613432712
2024,10,green,56147,11.399101643899051,20.667815140019353,15.519678572704771,0.06103890797122827,0.06282640869330164
2024,11,green,52222,27.138153077247136,21.487905480448855,14.9059282065251,0.06885038064968597,0.05227883045469394
2024,12,green,53994,13.492029299551803,20.669220654146756,14.859423968109828,0.07354257921161815,0.08503828959227526
2025,1,green,48326,21.532410089806728,19.955194926126723,13.950441886546178,0.08691982155693276,0.04240595821497414
2025,2,green,46621,15.240161515197016,20.373586652652953,13.358057750098235,0.09183174732142796,0.04404536438043427
2025,3,green,51539,15.502337259162964,20.390348085915523,14.367555437895122,0.09189799699719449,0.08093446346137673
2025,4,green,52132,17.97419262640988,21.80013779124786,13.72713873813134,0.0887038412953004,0.07227143914816946
2025,5,green,55399,20.318026137655917,21.609118094791125,15.660934106559724,0.06737505836267127,0.02739408247387124
2025,6,green,49390,10.12011844502936,19.58206519538368,16.18210800952214,0.06221067010405318,0.09697673747395169
2025,7,green,48205,21.391134322165755,21.392352107319436,14.558561069898591,0.06231354705524676,0.0832235775910831
2025,8,green,46306,13.593962769403534,21.587433233994155,16.34001759698776,0.04883225403088262,0.06630287345318436
2022,1,yellow,2463931,5.372751193113768,14.212202918831741,7.638083449819542,0.05545907259209379,0.07931838381568769
2022,2,yellow,2979431,5.852134283358131,15.65367733525853,7.775600534637701,0.04890579855761559,0.05887028553938608
2022,3,yellow,3627882,5.761289614711836,16.28904737897575,8.212809519107518,0.04720538045427324,0.04686218093319264
2022,4,yellow,3599920,5.668985221893819,17.32030498362927,8.638767042569782,0.05624822846030056,0.06680953169328485
2022,5,yellow,3588295,6.856860918625701,18.217598204718378,9.073164902908303,0.05116389053380173,0.08440543729094356
2022,6,yellow,3558124,5.968216000903845,421.3083986252308,9.270258669672494,0.05136428098462774,0.037980872771548
2022,7,yellow,3174394,5.8021811974190936,16.818889825900634,8.73139952534768,0.05648971569529638,0.057251657307707246
2022,8,yellow,3152677,5.7163320949148915,16.98377175968233,8.9710577466797,0.05188852630160724,0.07873249380043164
2022,9,yellow,3183767,7.109278873108494,18.70630464896878,9.886859858871437,0.0505637021044922,0.041847818197359186
2022,10,yellow,3675411,6.206977061885049,18.018001936835542,9.912412626530122,0.053263121522558125,0.08969575402279209
2022,11,yellow,3252717,6.346791663707603,18.11823512979047,10.05155648669291,0.0558077192696754,0.08234516888642973
